术语,类别,别名,定义,用途,口径_分子,口径_分母,口径_粒度,口径_时间窗,口径_数据源,指标与阈值,越界后果_高于,越界后果_低于,替代与升级,计算状态,实施状态,口径状态,同名异义,冲突登记,出现档,权威取自,schema
UNKNOWN,未分类,,证据分级：须另行取数核验，禁止以推测填补。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06基准；D06高精；R01前；R01后,R01后,MIN
WAPE,预测评估,,加权绝对百分误差：|Σ实际−Σ预测| ÷ |Σ实际|，读作「差了几成」。,**对外汇报最该用的一把尺**：量纲直观、可跨组跨实体直接比较，且不受朴素基准好坏影响。缺点是不告诉你差在哪个方向，须配 Bias,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
Wilcoxon符号秩检验,未分类,,Wilcoxon Signed-Rank Test，配对非参数检验，同时利用差值的正负号与相对大小（秩），检定力通常高于符号检验；本报告作为符号检验之交叉验证。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01前；R01后,R01后,MIN
Wilson CI,核验方法,,小样本比例的置信区间算法，比常规正态近似在极端比例下更可靠。,七条原则第②条：以区间宽度收敛到 0.15 以内，判定局数足够、胜率不是偶然,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Wilson 置信区间,统计推断,,小样本比率的稳健区间估计，比常见的正态近似在样本少时准得多。,判断某玩家的胜率优势是不是样本太少造成的假象。局数 <30 时区间宽度 >0.15，此时任何阈值都无区分力。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
XGBoost,模型方法,,梯度提升树。表格数据上的常胜军。,竞技场冠军模型，产出风险分。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Z-score,统计推断,,实测值比期望值高出多少个标准差。Z=3 约对应千分之一的偶然概率。,R-03 判定「玩家在某荷官桌的胜率异常」的主指标。**必须按各投注产品各算各的基准**，且分母一律是决胜局（庄闲的和局退还不入分母，见结算形态节）：剔和后庄 50.68%、和 9.48%、大 62.38%，混算必错。注意 45.86% 是含和局的无条件概率，只用于算庄家优势，**不可充 Z 分数基准**。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
hold%,经济指标,抽水率；留存率；持有率,庄家留存率＝ GGR ÷ 投注分母，衡量单位投注平台留下多少。,本项目经济裁定的唯一裁判指标：判定某群体是否侵蚀庄家优势。,GGR＝ -SUM(game_pnl)（汇率归一后）,⚠ 两候选并存：stake（下注额／西式 handle）｜ valid_bet（洗码量／亚洲代理惯用）,会员级或分组级,随所在章节,ods_a168_bet02,百家乐主注理论庄家优势约 1.06%（庄）／1.24%（闲）；边注远高于此。实测值须与所用分母一同报告。,多为高波动边注混入或样本偏小，非技能证据；据此处置将误伤。,该群体存在赢庄家者——须查优势打法、对打或口径错误；不可径判为作弊。,分母改洗码量口径可与退水基数同源；升级路径为按 bet09 拆玩法后分别核算，消除边注混杂（B-4／方案四缺口）。,COMPUTABLE,PRODUCTION,⚠ 未裁定：本项目存在 stake 与 valid_bet 两种候选分母，任何档案不得将其一写成全项目唯一标准；每处计算必须注明本档实际采用的分母。,TRUE,P0-1：R01 双档称『统一取 stake』，D-06 双档称『两口径须业务方裁定』。承重实测：全项目正文出现 66 次、代码内 15 次。,D06基准；D06高精；R01前；R01后,R01后,FULL8
hold%（庄家毛利率）,博彩业务,,GGR ÷ 投注额。百家乐理论值约 1.06%~1.24%。,规则有没有价值，看命中人群的 hold% 是否显著低于对照组。**命中一千人却挽不回漏损的规则一律不上线。**,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
min_members,阈值参数,,该 IP 下达到有效关联标准的会员数下限。,IP 候选阈值网格的第一个参数；调高则名单收窄、审核量下降,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
min_orders,阈值参数,,单个会员在该 IP 下的注单数下限，低于此数不计入有效关联。,滤掉偶然共用网络的路人，避免把公共出口误判为团伙,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
min_rate,阈值参数,,该 IP 下盈利会员占比的下限。,IP 整体是否在赢钱的判据；取 1.00 即要求全员盈利,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
min_share,阈值参数,,会员在该 IP 下的注单数占其自身全部注单的比例下限。,区分「主力在此 IP」与「偶尔路过」，是公共 IP 免疫的关键一档,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
n_rounds_tail,阈值参数,,该会员的尾段有效局数。,样本量门槛：局数不足者胜率不可信，一律不进名单,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
naive one-step 基准,模型评估,,用「上一期的值」作为本期预测的最朴素做法，是 MASE 的分母。,全局评估纪律的基准线。跑不赢它的模型，不如什么都不做。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
purged walk-forward,验证方法,,按时间前推切折，并把跨切点的整块样本剔除（净化）、切点后留禁运期；本方案中文一律称**净化滚动回测**，二者同义。,本报告回测的标准协议（折规格甲）：训练 63 日 / 禁运 7 日 / 测试 14 日 / 步长 1 日，名义折数约 56、有效独立折数约 4.0。同一物理局横跨切点会把测试期信息带进训练期。口径以 @sec-fold-contract 为准，本条不得与之分歧。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
p值,统计推断,,在「没有真效应」的前提下，观察到当前或更极端结果的概率。**不是**「结论为真的概率」。,尾段 ROI 差、荷官关联异常都靠它判断「是不是碰巧」。p 小只说明碰巧的可能性低，**不等于经济上值得处置**——本报告一律再过一道经济核算。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
tail_roi,阈值参数,,尾段投注的投资回报率（剔返水口径）。,判断尾段是否真能盈利；D-03S 五重检验已裁定其效应未能证实,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
tail_share,阈值参数,,尾段投注笔数占该会员全部投注的比例。,分辨「偶尔押尾段」与「专押尾段」，是尾段网格的主参数,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
tail_stake,阈值参数,,会员在靴末段（尾秒）的投注金额合计。,尾段行为画像的规模项；E1 已裁定尾段无信息优势，此参数只作刻画不参与计分,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
theo,玩家价值,,理论赢额：平均注额 × 该玩法的庄家优势 × 局数，衡量赌场理论上应赢多少。,行业通用的玩家价值锚，与实际输赢无关；本方案的净贡献口径与之同源，可互相校核,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
winrate_diff,阈值参数,,该会员胜率与同投注产品基准胜率之差。,衡量是否真有优势；须与 Lift 并看，绝对差在低基准产品上会失真,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
七类危害指标,监管基线,,英国博彩委员会要求运营商至少监控的七类客户指标。,本方案特征工程的合规体检表；本平台七类中两类完全无表、两类只能部分覆盖,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
上界,统计口径,,该指标的可能取值上限，真值只会更低、不会更高。,经济误判率标为上界，因对打者盘面常近似打平，当期未赢钱不等于清白——故实测值高于真实误判率,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
下行标准差,风险调整收益,,"只统计低于目标收益那一侧的波动，$\\sigma^-=\\sqrt{\\frac1T\\sum\\min(r_t-r_f,0)^2}$。",索提诺比率的分母。**赢多了不该被罚**——这正是它比夏普更贴风控场景的原因。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
主成分分析,军械,,PCA：把相关的多个特征旋转成互不相关的少数几个综合轴，先去掉规模共线。,分群前的白化预处理与分群散点图的坐标轴——不白化则距离被规模维绑架,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
主成分分析（PCA）,模型方法,,把相关的多个变量压成少数互不相关的主成分。,流水/洗码量/订单数三者相关系数常 >0.9，不正交化就会聚出「大户 vs 小户」而不是「风险 vs 正常」。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
事件时间,未分类,,以每名会员的首次标记月为原点 τ=0，前后各月记 τ=−1、+1……将不同日历月份的标记会员对齐到同一相对时间轴上观察。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01后,R01后,MIN
二项检验,统计推断,,在给定成功概率下，观测成功次数是否显著偏离期望。,小样本玩家胜率是否异常的精确检验；样本少到 Z 近似失效时用它兜底。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
交错采纳,未分类,,各会员在不同月份先后被标记（treatment 非同时发生）。此情形下朴素双重差分的双向固定效应估计存在负权重污染，须改用 Callaway–Sant'Anna 或 Sun–Abraham 类分组-时期估计量。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01后,R01后,MIN
产品大类,博彩业务,,平台推出的游戏种类，库内为 bet02：百家乐 / 龙虎 / 轮盘 / 骰宝等。,本方案只取 101 百家乐。这是主动的产品口径选择，不是全平台口径——所有阈值与金额结论一律只对百家乐成立，搬去其他产品会误伤。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
人工标记史,玩家维度,,風險單／劃單累计次数。,玩家罚侧维（§K01b 名单成员资格现算；K01.is_seed 实测全零故弃）；与金标准同源，此处作 0/1 入维,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
价值分,评分体系,,以有效投注、净贡献、留存为项的玩家价值度量。,建议与风险分分立、不合成单一总分——高价值与高风险可同时成立,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
优化者的诅咒,评分纪律,,以点估计的增量值求资源分配之最优，最优解会系统性偏向那些被噪声高估的实体——选出来的不是最好的，是估计误差最大且恰好为正的那些。,故优化后的实际收益必低于优化时算出的预期。三条应对：输入取收缩后估计、目标改取不确定性调整形式、**分辨率下限以下者视为同分，由业务规则或随机分配决定而非模型排序**——模型在噪声区排出来的序是假的,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
会员级平台毛利率 m_i,单位经济学,,**平台**自该会员所得 GGR ÷ 该会员洗码量。名为「会员级」是因按会员切分，赚这笔钱的仍是**平台**、不是会员。,门槛图的横轴；m_i 越高即平台从此人身上赚得越多，m_i 为负即此人在**赢平台的钱**。全篇「毛利」「毛利率」主语一律是平台，三个层级（全体 m／会员级 m_i／层级）只是聚合口径之别，分子分母定义完全一致（详见单位经济学章口径栏）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
保守下界,统计口径,,因数据或口径受限而必然低估的结果，真实表现只会更好。,回测的能力值轨折内仅能算十维之约半，故其净增益读作体系的保守下界,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
倾向得分匹配,因果推断,,给每个处置对象找特征相近的未处置对照，近似随机实验。,业绩提升的因果验证：证明 GGR 上升是风控的功劳，不是季节或汇率。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
免佣桌,博彩业务,,庄家赢不抽 5% 佣金，改用其他规则补偿。,佣金模式会让金额符号整体翻转，对账时必须分开看。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
全平台口径 88.65%,口径纪律,,"一个哨兵 dealer_id 承载 14,153,416 局，占全部 124,725,280 局之 **11.35%**；其荷官不可辨识，故玩家×荷官关联分析对其无效。",**本报告一切以「全平台」为口径的陈述，实际覆盖率为 88.65% 而非 100%**。且该哨兵极可能是第三方或电投渠道的一条完整业务线（tablelimit_third 含 dealer_name／vendor），剔除它不是清理噪声而是排除一条业务线,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
全池盈利,结账口径,,测试窗内平台从全体会员赚到的钱，等于会员净输额合计（GGR 口径）。,盈利增幅的分母；营业额是流水，盈利才是结账口径,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
冠军挑战者,模型治理,,现任冠军模型持续与挑战者在同一批净化折上对比，谁折均更优谁上岗。,PU-glm 与 XGBoost 的赛制；冠军判定写在回测结账，装包即自动参赛,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
决策模拟,证据纪律,,在无处置日志的前提下，以回测折级结果推算「若当时照此处置，账面会如何」。,本报告一切赏罚金额结果的正确性质（§EX-01 已证无处置日志）——**不是已发生的现金，不得称已证 ROI**,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
决策翻转率,误判经济学,,"个体重抽样 2,000 次重算阈值，个体跌回线下的频率。",荷官与代理无金标准时的误判概率估计——阈值不稳导致误圈的概率；乘 0.15 流失系数即误判代价,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
决胜局,口径定义,,game_pnl ≠ 0 的局，即真正分出胜负、未被退还的局。,"一切胜率与 Z 分数的分母。若误用含和局的无条件概率作基准，偏差系统性偏高且随局数以根号 n 增长——只押庄者约 1,100 个决胜局便自动越线，属「越大量越显异常」的假阳性，详见主方案『结算形态』一节",,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
净养账准则,阈值引擎,,在候选档位上最大化「池内盈利贡献 − γ*×池内洗码量」，即赏按天花板足额发放的最坏情形下池子仍留给平台的净账。,玩家赏池档位的现选准则——赏池自己养得起自己才配进池,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
净化滚动回测,验证方法,,按时间前后切折，切点附近的样本整块剔除（净化）并留出禁运期，再前推。,同一物理局横跨切点会把测试期信息泄漏进训练期。本报告净化整局、禁运 7 日。,,,,,,,,,,DEFINED,未标注,（待补）,TRUE,同名异义：2 个版本，见 versions,主·商业方案；主·精要报告,主·商业方案,MIN
净化滚动回测（purged walk-forward）,回测方法,,训练窗与测试窗按时间顺序滚动，两者之间留一段禁运期，并清除跨窗口的重叠样本。,本方案一切业绩验证的唯一协议：60 天训练 / 7 天禁运 / 14 天测试。不留禁运期，训练窗末尾与测试窗开头的同一批注单会同时出现在两侧，回测结果虚高。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
净增益,经济结账,,0.60 × 追回的不当得利 − 0.15 × 误伤客户的贡献 × 误伤比例。,罚侧的净经济效果；两个系数为外生常数，非本窗拟合所得,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
净贡献门槛 2.59%,单位经济学,,会员会员级平台毛利率须高于 ρ/(1−κ_share)＝0.349%/(1−86.53%)＝2.59%，其流水方为平台净赚。,全案最要紧的一条算术线（@sec-unit）——低于此线者流水越大平台越亏；它同时解释了 γ* 为何为负：全平台平均毛利率 1.918% 本就在门槛之下,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
净贡献（NC）,博彩业务,,(hold% − 退水率 − 占成率) × 洗码量。会员对平台的真实价值。,**净贡献率为负的会员，一分钱都不该赏**——这一条否掉了「大流水就是大客户」这个行业最贵的误解。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
净赢玩家,未分类,,本报告内生标签：game_pnl_all > 0 的会员，即该会员在整个分析窗口相对平台为净赢家。属会员自身结果性指标，非外部风控人工标注之 risk_label，二者不可等同——本报告已在正文明确区分。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01前；R01后,R01后,MIN
准入评分,未分类,,该类判据获准进入风险评分管道；未准入者至多进入画像，不得据以处置。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01前,R01前,MIN
分位定位,核验方法,,把某个观测值放到全体分布中，报出它排在百分之多少的位置。,七条原则第①条的核验手段：证明命中对象确处分布高位而非普通行为,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
分位归一,刻度,,把原始数值换成它在全体中的百分位排名（0–100）。,一切能力值的公共刻度——投注金额是重尾分布，直接取均值会被少数巨额客整体带偏,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
分位自助法区间,阈值引擎,,"对个体重抽样 2,000 次、每次重算分位数，取其 5% 与 95% 分位为区间。",荷官与代理罚维 P95 阈值的稳定性度量——区间宽即阈值不稳，须并读,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
分母,统计口径,,比率的下半部分；换分母就换问题。,本方案反复强调的口径纪律：同桌率用「局数较少者」还是「并集」、hold% 用投注额还是洗码量、误伤率用命中数还是会员数——分母不写死，两方各算各的必然吵架。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
分辨率下限,评分纪律,,把某实体与均值之差与运气分辨开所需的最小样本量。荷官侧实测：分辨 1pp 需约 15.7 万局、0.5pp 需 62.8 万局，而每荷官本窗仅约 41.6 万局。,故荷官价值的分辨率止于约 1 个百分点——**低于分辨率的差异一律不得用于排名或奖惩**，精确到小数点后两位者其后两位皆是运气。每实体每领域须逐一标注其分辨率下限,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
删失,军械,,观察结束时事件尚未发生（窗口末月仍活跃的会员即右删失）。,Cox 模型能正确利用这类样本，这正是不用普通回归的原因,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
判定详尽度,风控专员维度,,标注备注的平均字数。,专员赏侧维——判定理由是否可复核,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
前置空窗,回测纪律,,测试窗**之前**空出的天数，即本报告所称禁运期；与「后置禁运」相对——后者指测试窗之后、特征已吸收测试期信息的样本，只在双侧取样（如 CPCV）时才有实际作用。,前向推进的回测所需者只有前置空窗；把两者混为一谈会写出恒不生效的过滤条件,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
单链密度,代理维度,,该线会员所踩 IP 的 member_per_chain 最大值（C01）。,代理罚侧维——一条线塞几千号是打码农场的命门,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
占成率 κ,经济账,,代理占成支出除以洗码量。,本包实测异常（609 个分层全部高于该层 GGR，合计约 2.5 倍），核清前赏预算不得新增,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
占成（commission）,博彩业务,,代理按下线输赢分成的比例。,净贡献公式里的 κ。**曾长期缺失导致 γ* 偏大（赏得过头）**，现由 dailyreport 的 LV1~5 占成列补齐。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
即期未回本率,赏罚定标,,礼遇名单中当期净赢平台者占比。,**不作误判计**：单期输赢是波动不是身份（个体平台毛利率两期自相关仅 0.112），且礼遇的目的是留存与口碑而非即期回本。此数只作现金流提示,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
双档对照,核验方法,,同一规则设宽松与严格两档阈值，比较两档的审核量与风险质量。,七条原则第⑦条：两档差异需达两倍以上，否则该阈值不具区分力,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
双重差分（DiD）,因果推断,,比较「受影响组」与「未受影响组」在干预前后的变化之差，剥离共同趋势。,估计退水弹性 η 与流失敏感度 β 的首选路径。没有它，赏罚幅度只能跑保守先验。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
发放率,赏罚定标,,赏侧实际发放额占天花板（γ*×池内洗码量）的比例。,盈利比带上下界之间的滑动变量；实际档位由运营按月定，报告只保两端,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
变异系数 CV,实验设计,,标准差除以均值，重尾程度的直接读数。,本窗名单成员 14 日平台净赢的 CV 约为 8，即分布极端重尾；CV 越高，实验所需样本量按其平方增长,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
同域横比须先同证据,评分纪律,,同一领域内的数字，若观测量相差数百倍，不可直接认为同等可信（玩家十万观测的 85 与荷官两百观测的 92，后者区间宽到可能包住前者）。,故横比之对象不是能力值一个数，而是五元组（能力值·可靠度·不确定性·观测数·证据等级），且排序一律在不确定性调整之后进行，分辨率下限以下者视为同分,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
哨兵,本方案用语,,一条不参与判定、只用来报警的监控指标。,上线后的日更看板（覆盖率、G3+G4 量、误伤率、命中组 hold 差）都是哨兵：越界即人工介入，但本身不触发任何自动处置。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
回收率 0.60,外生常数,,每 1 元被判定为不当得利，预计实际能追回 0.60 元。,净增益公式的第一项系数；来自业务侧既定口径，不随窗口变动,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
基准率谬误,统计陷阱,,忽略事件本身极罕见，把高准确率误读成高可信度。,125 个正样本对 72 万会员——即便模型准确率 99%，命中名单里绝大多数仍是好客人。这就是误伤率必须单独设闸的原因。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
基率,评估指标,,本折在册会员中金标准所占比例（实测约 0.18%）。,Lift 的分母；也是判断「命中率 1.7% 算好还是算差」的唯一参照系——离开基率谈命中率必然误读,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
增益,经济核算,,本方案中一律指**净增益金额**：从该罚对象手上收回的部分，减去误伤好客造成的流失损失。,不是投注额，也不是会员人数——会员增减与营业额增幅属处置后的因果效应，须随机对照方能估计,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
增量预测力,评估纪律,,判据不是「模型预测得准不准」，而是「在时序基线之上还多预测出多少」：Δpred = Err(时序基线) − Err(时序基线+能力值)。三条基线并列——朴素、季节朴素、**仅规模特征**。,营业额与 GGR 的日序列由周内效应、节假与活动季主导，含任何时间信息 R² 便很漂亮而与能力值无关；第三条基线专答「能力值是不是只是规模的另一种写法」。详见主方案『能力值须能预测经营指标』一章,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
处置优先级分,评分体系,,综合分的正名：赏项均值减罚项均值，用于排队决定先查谁。,它回答「先查谁」而非「这人值多少」或「这人险在哪」，故不宜再称综合分,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
复核强度混杂,未分类,,标签由人工复核产生时，被复核越多的群体（如高注额会员）越容易被打标——判别力高可能部分反映『谁被看得多』而非『谁更危险』，不可径读为纯行为预测力。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01后,R01后,MIN
夏普比率,风险调整收益,,超额收益 ÷ 收益的总波动。衡量「赚得稳不稳」。,策略回测的收益质量指标。缺点是把「赚得多导致的波动」也当成风险罚掉。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
多重比较,统计陷阱,,同时检验很多假设时，总有几个「碰巧显著」。,阈值网格一扫几十格，不校正就会挑到运气最好的那一格。本报告用净化滚动回测的折间一致性来替代事后校正。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
多重比较校正（FDR）,统计纪律,,十万级玩家×荷官组合并行检验时，单次显著门槛（如 Z≥3.2）在纯噪声下也必然产出成百上千的越线组合；BH 法按假发现率重定处置候选门槛，哨兵荷官号须先逐出总体。,荷官关联证据的读法约束——榜序只定调查顺序，处置候选须过主方案『R-03 多重比较校正』一节的 BH 门槛，并另需独立于排名的二次确证（对照胜率、录像复核）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
完美对打,风险特征,,同一局内一庄一闲、方向完全相反的两名会员，全窗反向比例为 1。,金标准的主要来源；也是代理线冻结结算的证据基础,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
对打指数,玩家维度,,与固定搭档反向下注的最大占比（§17.2 原式：max opposite_rate）。,玩家罚侧主判据之一，由 C06 对打对就地派生；名单外会员记 0,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
对打渗透,代理维度,,该代理线内属于完美对打成员的会员占比。,代理罚侧的触发维；与净贡献分立，高价值线一样可能有对打,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
对押（对打 / hedge）,博彩业务,,同一局同时押庄与闲，把游戏输赢锁在接近零。,洗码套利的核心手法：游戏不输不赢，钱从退水与占成里出。判别必须等值匹配 Banker/Player。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
尾段,本方案用语,,一局之内靠后下的那批注（按局内下注顺序分位 ≥0.80，或距封盘的时间比例）。,需求 §5 的核心对象。实测裁定：尾段**没有信息优势**——两个都合理的操作化定义给出方向相反的结论，这本身就是无稳健优势的证据。,,,,,,,,,,DEFINED,未标注,（待补）,TRUE,同名异义：2 个版本，见 versions,D06基准；D06高精；主·商业方案,主·商业方案,MIN
尾注画像,本方案用语,,按尾段投注占比给出的分位画像，只作刻画不参与计分。,E1 已裁定尾段无信息优势，故此维保留观察而不判罚，避免以已证伪的信号误伤客人。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
尾秒,博彩业务,,一局封盘前最后几秒才下的注。,需求 §5 的核心概念。本报告实测裁定：尾段下注**没有信息优势**——比例是作息不是优势。桌内 SD≈5s、桌间 SD≈18.2s，全局统一阈值在方法上不成立，必须按桌分层。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
局速,荷官过程指标,,每小时完成的局数。,荷官绩效唯一有公开硬基准的过程项（Zender 50–55 局／小时）；本平台无排班表，只能由日均局数换算,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
平均收益,经济核算,,各折净增益的算术平均，即折均净增益。,衡量单个结算周期的典型收益水平；与累计值并看，可分辨「一折暴赚」与「折折稳赚」,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
平行趋势,未分类,,因果识别前提：若未被标记，标记组与对照组的结果轨迹应平行演进。标记恰逢峰值月（本报告实测）即是其最典型的威胁。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01后,R01后,MIN
庄家毛利率 m,经济账,,GGR 除以洗码量。,赏侧天花板的起点——赏出去的钱都得从这里出,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
