module_id,csv_name,m_code,m_name,business_domain,entity,grain,source_tables,output_columns,fact_or_derived,has_net_margin,net_margin_trust,risk_usage,join_type,join_key,upstream_dependency,status
093,TL09_member_schema.csv,Z00,基建/元数据,F 元数据字典,会员,ORDINAL_POSITION × COLUMN_NAME × DATA_TYPE,bet02,67,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
094,TL10_treatment_ledger.csv,M09,处置限额,D 处置与因果,会员,member_id × action_date × action_time,bet02|log_mem_change,73,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
095,TL11_treatment_episode.csv,M09,处置限额,D 处置与因果,会员,member_id × field_name × business_field,bet02|log_mem_change,87,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
096,TL11c_population_reconcile.csv,M09,处置限额,D 处置与因果,全窗/元数据,lvl × level_name × n_all,bet02|log_mem_change,70,AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
097,TL14_limit_treatment.csv,M09,处置限额,D 处置与因果,会员,member_id × action_date × action_time,bet02|bet_limit_default|log_mem_change,78,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
098,T_table_span.csv,M15,活跃周期,B 会员画像,桌台,gi011,bet02|game_info,69,AGG/DERIVED,TRUE,OK,SUPPORT,LEFT,table_id,bet02 canonical → q(本件粒度) + x_agg(table),HF1 可执行
099,VB_00_validbet_contract.csv,M05,退水套利,A 风险识别,全窗/元数据,scope × n_rows × n_vb_null,bet02,76,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
100,VB_00b_zero_five_rates.csv,M05,退水套利,A 风险识别,会员,scope × n_base_rows × n_active_member,agent|bet02,81,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
101,VB_41_identity_global.csv,M05,退水套利,A 风险识别,风控专员,test × n_rows × n_both_null,bet02,80,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
102,VB_41b_identity_strata.csv,M05,退水套利,A 风险识别,产品,TRIM(bet09) × TRIM(commission),bet02,73,METADATA/AUDIT,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,bet09_value,bet02 canonical → q(本件粒度) + x_agg(product),HF1 可执行
103,VB_41b_identity_strata_v18b.csv,M05,退水套利,A 风险识别,风控专员,g × comm,bet02,81,METADATA/AUDIT,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,bet09_value,bet02 canonical → q(本件粒度) + x_agg(product),HF1 可执行
104,VB_41c1_964_detail.csv,M05,退水套利,A 风险识别,会员,grp × bet01 × member_id,bet02,85,METADATA/AUDIT,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
105,VB_41c2_concentration.csv,M05,退水套利,A 风险识别,全窗/元数据,t.grp,bet02,83,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
106,VB_41c2_concentration_v2.csv,M05,退水套利,A 风险识别,会员,grp × n_rows × n_members,bet02,83,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
107,V_ipmatch.csv,M04,IP,A 风险识别,会员,ip × n_member_log × country,bet02|game_log,68,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,ip,bet02 canonical → q(本件粒度) + x_agg(ip),HF1 可执行
108,V_recon.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,n_matched_round × mae_turnover × mae_rebate,agent|bet02|game_info,75,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
109,V_table_counts.csv,Z00,基建/元数据,F 元数据字典,桌台,表名 × 行数,agent|alert_ip_setting|bet01|bet02|dailyreport_member|employee|game_No|game_info|member_dtl,65,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
110,X_combo.csv,M06,代理线,C 平台经营,全窗/元数据,1 × 2,agent|bet02|game_info,69,RANKING/DECISION,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
111,Z01_table_inventory.csv,Z00,基建/元数据,F 元数据字典,桌台,表名 × 表类型 × 估计行数,bet02,68,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
112,Z02_excluded_tables.csv,Z00,基建/元数据,F 元数据字典,桌台,表名 × 估计行数 × 表注释,bet02,67,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
113,Z03_column_dictionary.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,表名 × 列序 × 列名,bet02,71,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
114,Z04_name_collision.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,COLUMN_NAME,bet02,69,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
115,Z05_missing_typehint.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,表名 × 列序 × 列名,bet02,69,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
116,Z06_generated_probe_sql.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,表名 × 列序 × 列名,bet02,68,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
117,Z07_probe_bet02.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,3,bet02,68,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
118,Z08_roundkey_integrity.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,注单行数 × 局键数 × 单局最大注单行数,bet02,72,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
119,Z09_time_axis_recon.csv,Z00,基建/元数据,F 元数据字典,日期,行数 × dt等于账务日 × dt等于下注日,bet02,80,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
120,Z11_sentinel_impact.csv,M09,处置限额,D 处置与因果,全窗/元数据,未处置_注单行数 × 已处置_注单行数 × 未处置_局键数,bet02,76,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
121,Z14_zero_month_diagnosis.csv,M12,资金轨迹,D 处置与因果,会员,member_id × bet_month × zero_kind,agent|bet02,86,METADATA/AUDIT,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
122,_P12b-pre.csv,M09,处置限额,D 处置与因果,会员,member_id × action × content,bet02|log_mem_change,67,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
123,_PH0_1b_table_inventory.csv,Z00,基建/元数据,F 元数据字典,会员,table_name × h_src × has_uid,bet02,73,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
124,_PH0_2b_column_inventory.csv,Z00,基建/元数据,F 元数据字典,桌台,table_name × col_pos × column_name,bet02,70,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
125,_PH0_3_lmc_category.csv,M10,责任博彩,D 处置与因果,全窗/元数据,"COALESCE(NULLIF(TRIM(lmc04), ''), '（空）')",bet02|log_mem_change,75,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
126,_PH0_4L1_member_columns.csv,Z00,基建/元数据,F 元数据字典,会员,table_name × col_pos × column_name,bet02,68,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
127,_PH0_4b_rg_keyword.csv,M10,责任博彩,D 处置与因果,全窗/元数据,"COALESCE(NULLIF(TRIM(lmc04), ''), '（空）')",bet02|log_mem_change,74,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
128,_PH0_4w2_balance_points.csv,M12,资金轨迹,D 处置与因果,日期,dt_slice × n_user_active × n_pts_total,bet02|wallet_dtl,75,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
129,_PH0_6b_member_daily.csv,Z00,基建/元数据,F 元数据字典,会员,dt,bet02|member,69,METADATA/AUDIT,TRUE,OK,PRIMARY,LEFT,dt_day,bet02 canonical → q(本件粒度) + x_agg(date),HF1 可执行
